nPP	Value	Rank	-3SD	-2SD	-1SD	  Med	+1SD	+2SD	+3SD	1LB	1UB	  U
  0.3600000000	        370709	  0.3535356522	 -0.0022888184	 -0.0015745163	 -0.0007686615	  0.0000543594	  0.0007762909	  0.0015277863	  0.0023908615	 -0.0009237141	  0.0009237141	  2182
  0.3700000000	        381301	  0.3636369705	 -0.0023107529	 -0.0014991760	 -0.0007905960	  0.0000228882	  0.0008106232	  0.0016012192	  0.0023536682	 -0.0009501067	  0.0009501067	  2259
  0.3800000000	        391893	  0.3737382889	 -0.0023403168	 -0.0015926361	 -0.0007724762	  0.0000200272	  0.0008230209	  0.0016098022	  0.0021905899	 -0.0009764993	  0.0009764993	  2283
  0.3900000000	        402484	  0.3838386536	 -0.0023441315	 -0.0015563965	 -0.0008106232	  0.0000467300	  0.0008039474	  0.0016412735	  0.0025234222	 -0.0010028894	  0.0010028894	  2301
  0.4000000000	        413076	  0.3939399719	 -0.0021772385	 -0.0015220642	 -0.0007934570	  0.0000238419	  0.0007991791	  0.0016241074	  0.0022792816	 -0.0010292820	  0.0010292820	  2240
  0.4100000000	        423668	  0.4040412903	 -0.0022611618	 -0.0015325546	 -0.0008344650	  0.0000257492	  0.0007972717	  0.0015115738	  0.0022306442	 -0.0010556747	  0.0010556747	  2213
  0.4200000000	        434259	  0.4141416550	 -0.0023488998	 -0.0015430450	 -0.0008230209	  0.0000104904	  0.0008220673	  0.0015287399	  0.0022363663	 -0.0010820648	  0.0010820648	  2307
  0.4300000000	        444851	  0.4242429733	 -0.0021839142	 -0.0015287399	 -0.0007963181	  0.0000123978	  0.0008497238	  0.0016670227	  0.0023078918	 -0.0011084574	  0.0011084574	  2325
  0.4400000000	        455443	  0.4343442917	 -0.0025243759	 -0.0015592575	 -0.0007829666	  0.0000085831	  0.0008487701	  0.0015964508	  0.0024461746	 -0.0011348500	  0.0011348500	  2343
  0.4500000000	        466034	  0.4444446564	 -0.0021667480	 -0.0015630722	 -0.0007867813	  0.0000057220	  0.0008602142	  0.0016269684	  0.0023508072	 -0.0011612401	  0.0011612401	  2292
  0.4600000000	        476626	  0.4545459747	 -0.0024347305	 -0.0015563965	 -0.0007705688	 -0.0000123978	  0.0008354187	  0.0016031265	  0.0022211075	 -0.0011876327	  0.0011876327	  2293
  0.4700000000	        487218	  0.4646472931	 -0.0025815964	 -0.0015792847	 -0.0008020401	 -0.0000276566	  0.0007877350	  0.0015344620	  0.0022583008	 -0.0012000000	  0.0012000000	  2310
  0.4800000000	        497809	  0.4747476578	 -0.0024290085	 -0.0016431808	 -0.0008316040	 -0.0000600815	  0.0008211136	  0.0017290115	  0.0024728775	 -0.0012000000	  0.0012000000	  2352
  0.4900000000	        508401	  0.4848489761	 -0.0026121140	 -0.0017194748	 -0.0008897781	  0.0000181198	  0.0009317398	  0.0017547607	  0.0026702881	 -0.0012000000	  0.0012000000	  2413
  0.5000000000	        518993	  0.4949502945	 -0.0024757385	 -0.0017881393	 -0.0008773804	 -0.0000190735	  0.0009050369	  0.0018634796	  0.0026206970	 -0.0012000000	  0.0012000000	  2436
  0.5100000000	        529584	  0.5050506592	 -0.0026559830	 -0.0017099380	 -0.0008516312	 -0.0000019073	  0.0009241104	  0.0018625259	  0.0026092529	 -0.0012000000	  0.0012000000	  2463
  0.5200000000	        540176	  0.5151519775	 -0.0024824142	 -0.0017385483	 -0.0008926392	  0.0000209808	  0.0008869171	  0.0017423630	  0.0026817322	 -0.0012000000	  0.0012000000	  2427
  0.5300000000	        550768	  0.5252532959	 -0.0026636124	 -0.0017910004	 -0.0008869171	 -0.0000038147	  0.0009479523	  0.0018558502	  0.0027999878	 -0.0012000000	  0.0012000000	  2483
  0.5400000000	        561359	  0.5353536606	 -0.0029363632	 -0.0018301010	 -0.0009260178	  0.0000095367	  0.0008926392	  0.0018148422	  0.0027704239	 -0.0012000000	  0.0012000000	  2423
  0.5500000000	        571951	  0.5454549789	 -0.0025777817	 -0.0017671585	 -0.0008964539	  0.0000114441	  0.0008716583	  0.0017576218	  0.0027484894	 -0.0012000000	  0.0012000000	  2373
  0.5600000000	        582543	  0.5555562973	 -0.0026884079	 -0.0017175674	 -0.0008459091	  0.0000333786	  0.0008783340	  0.0017719269	  0.0027713776	 -0.0012000000	  0.0012000000	  2376
  0.5700000000	        593134	  0.5656566620	 -0.0026464462	 -0.0017910004	 -0.0008964539	  0.0000343323	  0.0009250641	  0.0017967224	  0.0026435852	 -0.0012000000	  0.0012000000	  2413
  0.5800000000	        603726	  0.5757579803	 -0.0025796890	 -0.0017805099	 -0.0008792877	  0.0000247955	  0.0008859634	  0.0017967224	  0.0027923584	 -0.0012000000	  0.0012000000	  2252
  0.5900000000	        614318	  0.5858592987	 -0.0025110245	 -0.0018844604	 -0.0009279251	  0.0000381470	  0.0009088516	  0.0017337799	  0.0025186539	 -0.0012000000	  0.0012000000	  2157
  0.6000000000	        624909	  0.5959596634	 -0.0027236938	 -0.0018301010	 -0.0008745193	 -0.0000085831	  0.0008592606	  0.0017156601	  0.0025835037	 -0.0012000000	  0.0012000000	  2001
  0.6100000000	        635501	  0.6060609818	 -0.0027532578	 -0.0017757416	 -0.0009222031	  0.0000352859	  0.0009088516	  0.0018339157	  0.0026197433	 -0.0012000000	  0.0012000000	  1992
  0.6200000000	        646093	  0.6161623001	 -0.0026407242	 -0.0017843246	 -0.0009012222	 -0.0000047684	  0.0009298325	  0.0017919540	  0.0025215149	 -0.0012000000	  0.0012000000	  2025
  0.6300000000	        656684	  0.6262626648	 -0.0026865005	 -0.0017108917	 -0.0008935928	 -0.0000066757	  0.0008850098	  0.0018348694	  0.0025501251	 -0.0012000000	  0.0012000000	  1973
  0.6400000000	        667276	  0.6363639832	 -0.0026960373	 -0.0016841888	 -0.0009222031	 -0.0000524521	  0.0009050369	  0.0017414093	  0.0027265549	 -0.0012000000	  0.0012000000	  1965
  0.6500000000	        677868	  0.6464653015	 -0.0026159286	 -0.0017070770	 -0.0008764267	 -0.0000057220	  0.0009422302	  0.0018005371	  0.0026721954	 -0.0012000000	  0.0012000000	  1918
  0.6600000000	        688459	  0.6565656662	 -0.0026712418	 -0.0018005371	 -0.0008583069	  0.0000095367	  0.0008907318	  0.0018177032	  0.0025796890	 -0.0012000000	  0.0012000000	  1936
  0.6700000000	        699051	  0.6666669846	 -0.0030174255	 -0.0024833679	 -0.0008068085	 -0.0001726151	  0.0014085770	  0.0021553040	  0.0036058426	 -0.0012000000	  0.0012000000	  2021
  0.6800000000	        709643	  0.6767683029	 -0.0029497147	 -0.0024290085	 -0.0007648468	 -0.0001697540	  0.0014257431	  0.0021085739	  0.0028028488	 -0.0012000000	  0.0012000000	  1945
  0.6900000000	        720234	  0.6868686676	 -0.0030326843	 -0.0024118423	 -0.0008249283	 -0.0002031326	  0.0013999939	  0.0021038055	  0.0027675629	 -0.0012000000	  0.0012000000	  1995
  0.7000000000	        730826	  0.6969699860	 -0.0031080246	 -0.0024814606	 -0.0008878708	 -0.0001773834	  0.0014419556	  0.0020389557	  0.0037240982	 -0.0012000000	  0.0012000000	  1985
  0.7100000000	        741418	  0.7070713043	 -0.0030717850	 -0.0024528503	 -0.0008554459	 -0.0002460480	  0.0013761520	  0.0020523071	  0.0033168793	 -0.0012000000	  0.0012000000	  1906
  0.7200000000	        752009	  0.7171716690	 -0.0031852722	 -0.0025110245	 -0.0009069443	 -0.0003013611	  0.0013952255	  0.0020122528	  0.0035734177	 -0.0012000000	  0.0012000000	  1914
  0.7300000000	        762601	  0.7272729874	 -0.0031871796	 -0.0024805069	 -0.0009021759	 -0.0002822876	  0.0013217926	  0.0019445419	  0.0034885406	 -0.0012000000	  0.0012000000	  1915
  0.7400000000	        773193	  0.7373743057	 -0.0031614304	 -0.0024385452	 -0.0009651184	 -0.0003261566	  0.0013561249	  0.0019702911	  0.0034246445	 -0.0012000000	  0.0012000000	  1970
  0.7500000000	        783784	  0.7474746704	 -0.0033473969	 -0.0025119781	 -0.0010175705	 -0.0002975464	  0.0013084412	  0.0019044876	  0.0034818649	 -0.0012000000	  0.0012000000	  1892
  0.7600000000	        794376	  0.7575759888	 -0.0034284592	 -0.0024509430	 -0.0009918213	 -0.0002689362	  0.0013103485	  0.0018386841	  0.0035314560	 -0.0012000000	  0.0012000000	  1864
  0.7700000000	        804968	  0.7676773071	 -0.0033655167	 -0.0022640228	 -0.0010519028	 -0.0003299713	  0.0012588501	  0.0018539429	  0.0034389496	 -0.0012000000	  0.0012000000	  1822
  0.7800000000	        815559	  0.7777776718	 -0.0033588409	 -0.0022478104	 -0.0011110306	 -0.0002746582	  0.0012083054	  0.0018129349	  0.0032701492	 -0.0012000000	  0.0012000000	  1856
  0.7900000000	        826151	  0.7878789902	 -0.0032835007	 -0.0019512177	 -0.0010986328	 -0.0002412796	  0.0012245178	  0.0018367767	  0.0034141541	 -0.0012000000	  0.0012000000	  1859
  0.8000000000	        836743	  0.7979803085	 -0.0033378601	 -0.0018882751	 -0.0011501312	 -0.0002212524	  0.0011558533	  0.0018377304	  0.0034475327	 -0.0012000000	  0.0012000000	  1788
  0.8100000000	        847334	  0.8080806732	 -0.0034370422	 -0.0018472672	 -0.0011329651	  0.0000000000	  0.0010976791	  0.0017948151	  0.0036478043	 -0.0012000000	  0.0012000000	  1708
  0.8200000000	        857926	  0.8181819916	 -0.0036230087	 -0.0019035339	 -0.0012073517	  0.0002698898	  0.0011234283	  0.0020818710	  0.0034389496	 -0.0012000000	  0.0012000000	  1793
  0.8300000000	        868518	  0.8282833099	 -0.0032329559	 -0.0017871857	 -0.0012617111	  0.0003108978	  0.0010719299	  0.0021553040	  0.0033712387	 -0.0012000000	  0.0012000000	  1774
  0.8400000000	        879109	  0.8383836746	 -0.0034103394	 -0.0018396378	 -0.0012292862	  0.0003614426	  0.0010814667	  0.0021877289	  0.0033025742	 -0.0012000000	  0.0012000000	  1764
  0.8500000000	        889701	  0.8484849930	 -0.0034685135	 -0.0018959045	 -0.0012884140	  0.0003814697	  0.0010204315	  0.0023784637	  0.0032253265	 -0.0012000000	  0.0012000000	  1663
  0.8600000000	        900293	  0.8585863113	 -0.0033397675	 -0.0018653870	 -0.0012779236	  0.0003318787	  0.0009584427	  0.0023794174	  0.0032587051	 -0.0012000000	  0.0012000000	  1691
  0.8700000000	        910884	  0.8686866760	 -0.0032901764	 -0.0019330978	 -0.0013332367	  0.0002851486	  0.0009880066	  0.0024414063	  0.0034379959	 -0.0012000000	  0.0012000000	  1698
  0.8800000000	        921476	  0.8787879944	 -0.0034999847	 -0.0019016266	 -0.0012969971	  0.0003061295	  0.0009222031	  0.0024023056	  0.0031290054	 -0.0012000000	  0.0012000000	  1633
  0.8900000000	        932068	  0.8888893127	 -0.0032014847	 -0.0019741058	 -0.0013494492	  0.0003404617	  0.0008687973	  0.0024385452	  0.0032720566	 -0.0012000000	  0.0012000000	  1582
  0.9000000000	        942659	  0.8989896774	 -0.0037488937	 -0.0020399094	 -0.0014276505	  0.0002708435	  0.0008754730	  0.0025758743	  0.0032062531	 -0.0012000000	  0.0012000000	  1614
  0.9100000000	        953251	  0.9090909958	 -0.0033588409	 -0.0020027161	 -0.0014028549	  0.0002107620	  0.0008363724	  0.0024156570	  0.0031442642	 -0.0012000000	  0.0012000000	  1600
  0.9200000000	        963843	  0.9191923141	 -0.0030479431	 -0.0020656586	 -0.0014820099	  0.0002336502	  0.0008420944	  0.0024671555	  0.0030546188	 -0.0012000000	  0.0012000000	  1495
  0.9300000000	        974434	  0.9292926788	 -0.0036220551	 -0.0021476746	 -0.0014238358	  0.0001707077	  0.0007848740	  0.0024690628	  0.0030746460	 -0.0012000000	  0.0012000000	  1548
  0.9400000000	        985026	  0.9393939972	 -0.0033369064	 -0.0022249222	 -0.0013942719	  0.0002059937	  0.0008106232	  0.0025148392	  0.0029973984	 -0.0012000000	  0.0012000000	  1498
  0.9500000000	        995618	  0.9494953156	 -0.0026865005	 -0.0020885468	 -0.0014610291	  0.0001382828	  0.0007486343	  0.0024480820	  0.0030632019	 -0.0012000000	  0.0012000000	  1396
  0.9600000000	       1006209	  0.9595956802	 -0.0025234222	 -0.0021381378	 -0.0014200211	  0.0000762939	  0.0007638931	  0.0022850037	  0.0028791428	 -0.0012000000	  0.0012000000	  1321
  0.9700000000	       1016801	  0.9696969986	 -0.0030612946	 -0.0023288727	 -0.0013608932	  0.0001029968	  0.0007171631	  0.0024213791	  0.0029067993	 -0.0012000000	  0.0012000000	  1277
  0.9800000000	       1027393	  0.9797983170	 -0.0026569366	 -0.0022916794	 -0.0013227463	  0.0000371933	  0.0007495880	  0.0023622513	  0.0028581619	 -0.0012000000	  0.0012000000	  1080
  0.9900000000	       1037984	  0.9898986816	 -0.0028610229	 -0.0022287369	 -0.0009107590	  0.0000686646	  0.0008163452	  0.0022869110	  0.0027770996	 -0.0012000000	  0.0012000000	   762
  1.0000000000	       1048576	  1.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	 -0.0012000000	  0.0012000000	     1
