START JOB BloomFilterSizeProfile
Date Time: 2024/07/03 01:41:40 PST
TrueU	Size	NumTrials	FalsePositiveRate	NumHashBits
3327	95680	1024	9.5367431640625E-7	20
3566	102592	1024	1.6689300537109375E-6	20
3822	109952	1024	2.86102294921875E-6	20
4096	117824	1024	2.86102294921875E-6	20
4390	126272	1024	1.6689300537109375E-6	20
4705	135296	1024	2.1457672119140625E-6	20
5043	145024	1024	2.6226043701171875E-6	20
5405	155456	1024	2.6226043701171875E-6	20
5793	166592	1024	9.5367431640625E-7	20
6208	178560	1024	1.1920928955078125E-6	20
6654	191360	1024	9.5367431640625E-7	20
7132	205120	1024	1.9073486328125E-6	20
7643	219776	1024	2.1457672119140625E-6	20
8192	235584	1024	1.6689300537109375E-6	20
8780	252480	1024	1.430511474609375E-6	20
9410	270592	1024	2.384185791015625E-6	20
10086	290048	1024	7.152557373046875E-7	20
10809	310848	1024	1.9073486328125E-6	20
11585	333184	1024	1.9073486328125E-6	20
12417	357056	1024	2.384185791015625E-6	20
13308	382720	1024	2.1457672119140625E-6	20
14263	410176	1024	9.5367431640625E-7	20
15287	439616	1024	1.430511474609375E-6	20
16384	471168	1024	1.430511474609375E-6	20
17560	504960	1024	4.76837158203125E-7	20
18820	541184	1024	1.430511474609375E-6	20
20171	580032	1024	1.9073486328125E-6	20
21619	621696	1024	1.1920928955078125E-6	20
23170	666304	1024	1.6689300537109375E-6	20
24834	714112	1024	1.430511474609375E-6	20
26616	765376	1024	1.1920928955078125E-6	20
28526	820288	1024	1.430511474609375E-6	20
30574	879168	1024	4.76837158203125E-7	20
32768	942272	1024	2.384185791015625E-7	20
35120	1009920	1024	1.9073486328125E-6	20
37641	1082432	1024	1.430511474609375E-6	20
40342	1160064	1024	9.5367431640625E-7	20
43238	1243328	1024	1.430511474609375E-6	20
46341	1332544	1024	1.9073486328125E-6	20
49667	1428224	1024	1.1920928955078125E-6	20
53232	1530752	1024	1.1920928955078125E-6	20
57052	1640576	1024	1.430511474609375E-6	20
61147	1758336	1024	9.5367431640625E-7	20
65536	1884544	1024	1.430511474609375E-6	20
70240	2019776	1024	2.6226043701171875E-6	20
75281	2164736	1024	2.384185791015625E-6	20
80684	2320128	1024	2.384185791015625E-7	20
86475	2486656	1024	9.5367431640625E-7	20
92682	2665088	1024	7.152557373046875E-7	20
99334	2856384	1024	1.430511474609375E-6	20
106464	3061440	1024	7.152557373046875E-7	20
114105	3281152	1024	2.384185791015625E-7	20
122295	3516672	1024	2.384185791015625E-6	20
131072	3769024	1024	7.152557373046875E-7	20
140479	4039552	1024	7.152557373046875E-7	20
150562	4329472	1024	1.1920928955078125E-6	20
161369	4640256	1024	1.6689300537109375E-6	20
172951	4973248	1024	1.1920928955078125E-6	20
185364	5330176	1024	9.5367431640625E-7	20
198668	5712768	1024	7.152557373046875E-7	20
212927	6122816	1024	1.1920928955078125E-6	20
228210	6562240	1024	4.76837158203125E-7	20
244589	7033216	1024	2.384185791015625E-7	20
262144	7538048	1024	9.5367431640625E-7	20
280959	8079040	1024	7.152557373046875E-7	20
301124	8658880	1024	4.76837158203125E-7	20
322737	9280384	1024	2.6226043701171875E-6	20
345901	9946496	1024	1.6689300537109375E-6	20
370728	10660352	1024	1.430511474609375E-6	20
397336	11425472	1024	7.152557373046875E-7	20
425854	12245568	1024	7.152557373046875E-7	20
456419	13124416	1024	4.76837158203125E-7	20
489178	14066432	1024	1.1920928955078125E-6	20
524288	15076032	1024	2.6226043701171875E-6	20
561918	16158080	1024	4.76837158203125E-7	20
602249	17317824	1024	9.5367431640625E-7	20
645474	18560768	1024	1.430511474609375E-6	20
691802	19892928	1024	4.76837158203125E-7	20
741455	21320704	1024	1.6689300537109375E-6	20
794672	22850944	1024	9.5367431640625E-7	20
851708	24491072	1024	1.1920928955078125E-6	20
912838	26248832	1024	1.430511474609375E-6	20
978356	28132800	1024	1.430511474609375E-6	20
1048576	30152000	1024	7.152557373046875E-7	20

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
JobProfile=org.apache.datasketches.characterization.filters.BloomFilterSizeProfile
OutputFileName=BloomFilterSizeProfile20240703_014140PST.txt
OutputFileNameData=BloomFilterSizeProfile20240703_014140PST.tsv
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
targetFpp=1e-6
TimeZone=PST
TimeZoneOffset=-28800000
Trials_interData=true
Trials_lgMaxBpU=5
Trials_lgMaxT=14
Trials_lgMaxU=20
Trials_lgMinBpU=1
Trials_lgMinT=10
Trials_lgMinU=0
Trials_lgQK=12
Trials_postPMFs=false
Trials_TPPO=1
Trials_UPPO=10

Total Job Time: 0:00:34.216
END JOB BloomFilterSizeProfile


