START JOB QuotientFilterSizeProfile
Date Time: 2024/07/03 01:42:55 PST
TrueU	Size	NumTrials	FalsePositiveRate	NumHashBits
28526	753664	1024	7.152557373046875E-7	20
30574	1507328	1024	7.152557373046875E-7	20
32768	1507328	1024	9.5367431640625E-7	20
35120	1507328	1024	4.76837158203125E-7	20
37641	1507328	1024	4.76837158203125E-7	20
40342	1507328	1024	7.152557373046875E-7	20
43238	1507328	1024	9.5367431640625E-7	20
46341	1507328	1024	7.152557373046875E-7	20
49667	1507328	1024	9.5367431640625E-7	20
53232	1507328	1024	1.1920928955078125E-6	20
57052	1507328	1024	4.76837158203125E-7	20
61147	3014656	1024	7.152557373046875E-7	20
65536	3014656	1024	2.384185791015625E-7	20
70240	3014656	1024	4.76837158203125E-7	20
75281	3014656	1024	4.76837158203125E-7	20
80684	3014656	1024	0.0	20
86475	3014656	1024	2.384185791015625E-7	20
92682	3014656	1024	2.384185791015625E-7	20
99334	3014656	1024	4.76837158203125E-7	20
106464	3014656	1024	1.1920928955078125E-6	20
114105	3014656	1024	7.152557373046875E-7	20
122295	6029312	1024	4.76837158203125E-7	20
131072	6029312	1024	0.0	20
140479	6029312	1024	7.152557373046875E-7	20
150562	6029312	1024	1.1920928955078125E-6	20
161369	6029312	1024	2.384185791015625E-7	20
172951	6029312	1024	4.76837158203125E-7	20
185364	6029312	1024	1.1920928955078125E-6	20
198668	6029312	1024	2.384185791015625E-7	20
212927	6029312	1024	7.152557373046875E-7	20
228210	6029312	1024	9.5367431640625E-7	20
244589	12058624	1024	2.384185791015625E-7	20
262144	12058624	1024	7.152557373046875E-7	20
280959	12058624	1024	2.384185791015625E-7	20
301124	12058624	1024	7.152557373046875E-7	20
322737	12058624	1024	4.76837158203125E-7	20
345901	12058624	1024	7.152557373046875E-7	20
370728	12058624	1024	4.76837158203125E-7	20
397336	12058624	1024	7.152557373046875E-7	20
425854	12058624	1024	9.5367431640625E-7	20
456419	12058624	1024	7.152557373046875E-7	20
489178	24117248	1024	2.384185791015625E-7	20
524288	24117248	1024	4.76837158203125E-7	20
561918	24117248	1024	2.384185791015625E-7	20
602249	24117248	1024	0.0	20
645474	24117248	1024	4.76837158203125E-7	20
691802	24117248	1024	1.430511474609375E-6	20
741455	24117248	1024	7.152557373046875E-7	20
794672	24117248	1024	1.1920928955078125E-6	20
851708	24117248	1024	1.1920928955078125E-6	20
912838	24117248	1024	2.384185791015625E-7	20
978356	48234496	1024	7.152557373046875E-7	20
1048576	48234496	1024	2.384185791015625E-7	20

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
JobProfile=org.apache.datasketches.characterization.filters.QuotientFilterSizeProfile
OutputFileName=QuotientFilterSizeProfile20240703_014255PST.txt
OutputFileNameData=QuotientFilterSizeProfile20240703_014255PST.tsv
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
targetFpp=1e-6
TimeZone=PST
TimeZoneOffset=-28800000
Trials_lgMaxBpU=5
Trials_lgMaxT=14
Trials_lgMaxU=20
Trials_lgMinBpU=1
Trials_lgMinT=10
Trials_lgMinU=0
Trials_TPPO=1
Trials_UPPO=10

Total Job Time: 0:00:42.539
END JOB QuotientFilterSizeProfile


